Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Петрик,Аркадій,Федорович,Чоловік,29.03.2005,Сантехнік,село Яворів,"провулок Балтський 8-й, буд. 481, Гребінка, 29852",+380 (72) 098-92-64,kyrylo30@example.org
Іваненко,Леонід,Іванович,Чоловік,31.07.1987,Кінолог,хутір Перевальськ,"шосе Елеваторна, буд. 5 кв. 185, Корець, 60676",+380 35 161 97 93,khudobiakazar@example.org
Чумак,Дан,Богданович,Чоловік,07.07.2001,Етнограф,село Тараща,"проспект Лиманчик 2-й Лінія 11-та, буд. 379, Трускавець, 02247",+380 (14) 509-60-56,tdanchenko@example.com
Лазаренко,Альбіна,Ярославівна,Жінка,24.07.1992,Бібліограф,селище Маріуполь,"вулиця Путівна, буд. 141 кв. 7, Шепетівка, 85323",+380 79 619 87 72,zasiadkovarvara@example.org
Вергун,Леопольд,Ярославович,Чоловік,02.02.1984,Парфюмер,місто Галич,"шосе Морський, буд. 339, Старий Самбір, 02415",+380 (65) 970-05-56,bezborodkodan@example.org
Михайличенко,Лілія,Ярославівна,Жінка,07.04.1974,Графік,хутір Приморськ,"сквер Князя Володимира Великого , буд. 87 кв. 0, Біла Церква, 14955",+380 (02) 108-34-18,matiashfedir@example.org
Оберемко,Данило,Олександрович,Чоловік,12.08.1972,Шериф,місто Берестечко,"проспект Могилівська, буд. 786, Щастя, 05795",528 30 96,balabannadiia@example.net
Гук,Антон,Геннадійович,Чоловік,18.03.1979,Промисловець,хутір Подільськ,"вулиця Литавровий, буд. 4, Ужгород, 20787",093 900-74-76,kamilladzhun@example.org
Лазаренко,Пантелеймон,Ярославович,Чоловік,21.01.1962,Композитор,місто Харцизьк,"парк 2-га Лінія Марії Демченко, буд. 86 кв. 315, Конотоп, 32245",089 576 95 63,ckorpaniuk@example.com
Карпенко,Ігнат,Тарасович,Чоловік,15.09.1977,Перекладач,хутір Тисмениця,"проспект Неплія, буд. 82, Лохвиця, 19351",127 49 61,bezditkovasylyna@example.com
Фаренюк,Стефан,Сергійович,Чоловік,17.11.1950,Історик,село Нікополь,"шосе Манежний, буд. 63, Білозерське, 45519",576 21 24,kdurdynets@example.net
Карась,Едуард,Станіславович,Чоловік,16.04.1957,Фармацевт,хутір Ржищів,"площа Лиманна, буд. 609, Верхньодніпровськ, 83732",091 765 09 73,iakymchukviktoriia@example.com
Даньків,Мирон,Богданович,Чоловік,19.03.1939,Мірошник,селище Верхньодніпровськ,"вулиця Канатна, буд. 513 кв. 627, Мостиська, 53192",+380 (59) 131-67-36,azar70@example.org
Петлюра,Людмила,Юріївна,Жінка,25.02.1980,Астроном,місто Чугуїв,"узвіз Бучми, буд. 922 кв. 411, Стрий, 23358",020 971-19-21,amaliia88@example.com
Твердохліб,Стефан,Тарасович,Чоловік,02.10.1970,Гінеколог,село Щолкіне,"шосе Травневий 5-й, буд. 92, Бобровиця, 24838",581-92-56,wsamoilenko@example.com
Їжак,Юстина,Василівна,Жінка,25.03.1949,Краєзнавець,місто Жмеринка,"набережна Весняна, буд. 599 кв. 1, Винники, 26554",226-22-34,halyna57@example.net
Хорішко,Болеслав,Васильович,Чоловік,16.08.1963,Дизайнер,місто Іршава,"вулиця Ланжеронівська, буд. 3, Арциз, 90032",+380 97 690 42 33,rubaniarema@example.net
Башполченко,Яків,Вікторович,Чоловік,15.12.1974,Ветеринар,селище Броди,"узвіз Амундсена, 1-й, буд. 39 кв. 093, Пустомити, 66473",329 03 66,zoriantokar@example.com
Гаврюшенко,Алевтин,Романович,Чоловік,25.01.1973,Лікар,село Сокиряни,"провулок Кощового отамана, буд. 210 кв. 966, Андрушівка, 86562",+380 17 000-57-19,iustynadarahan@example.com
Штепа,Марʼяна,Володимирівна,Жінка,22.02.2002,Детектив,хутір Монастирище,"набережна Сумський, буд. 646, Кілія, 96855",656-35-43,telychenkolevko@example.com
Бакуменко,Юхим,Сергійович,Чоловік,12.06.2007,Петрограф,село Тульчин,"сквер Газова, буд. 13, Роздільна, 39472",+380 59 843-07-68,chuprynavarvara@example.net
Романець,Гаврило,Володимирович,Чоловік,09.10.1986,Філолог,місто Нова Каховка,"узвіз Південна, буд. 65, Новогродівка, 51280",+380 53 130-63-01,kolisnychenkostefan@example.org
Якимчук,Омелян,Федорович,Чоловік,28.01.1978,Паралегал,селище Київ,"узвіз Зелена, буд. 24, Здолбунів, 14188",963-94-50,vladyslaviarema@example.org
Матяш,Сергій,Богданович,Чоловік,08.11.2005,Хімік,селище Сновськ,"набережна Літакова, буд. 34, Теплодар, 88827",+380 (50) 107-43-89,zabilaoleh@example.net
Пʼятаченко,Кирило,Сергійович,Чоловік,19.04.1954,Акушер,хутір Охтирка,"набережна Морська, буд. 7, Глобине, 49083",+380 87 168-17-20,ohavrylenko@example.com
Дацюк,Валентина,Олександрівна,Жінка,09.04.1998,Археолог,місто Добропілля,"площа Естафетна, буд. 1, Дружківка, 05373",+380 34 033-99-58,adam90@example.net
Венгринович,Венедикт,Федорович,Чоловік,15.06.1970,Бібліограф,село Белз,"провулок Дерибасівська, буд. 680, Волочиськ, 61502",+380 29 809 86 10,haleksandrenko@example.net
Єрошенко,Вʼячеслав,Петрович,Чоловік,01.07.1992,Ді-джей,місто Волочиськ,"набережна Котляревського, буд. 54, Старобільськ, 16199",426-81-90,fedir05@example.org
Єщенко,Панас,Володимирович,Чоловік,26.03.2008,Петрограф,село Білгород-Дністровський,"набережна Прилуцький, буд. 853, Липовець, 31856",869 78 15,nsmyk@example.org
Євдокименко,Федір,Володимирович,Чоловік,11.11.1973,Ветеринар,селище Нова Одеса,"вулиця Аеропортівський 3-й, буд. 838 кв. 37, Ходорів, 47295",072 621 38 62,syrotenkoiaroslava@example.net
Дейнеко,Іван,Олександрович,Чоловік,25.09.1956,Льотчик,місто Кіцмань,"проспект Миколаївський 1-й, буд. 33, Нова Одеса, 59209",+380 99 682-64-56,olehdemianiuk@example.org
Вівчаренко,Тимофій,Дмитрович,Чоловік,14.10.1949,Намотувальник,селище Тисмениця,"вулиця Тіниста, буд. 4, Богодухів, 93631",073 199-10-10,davyddubas@example.com
Базилевич,Ганна,Петрівна,Жінка,01.11.1999,Гицель,село Жмеринка,"площа Василя Капніста, буд. 2 кв. 829, Ківерці, 32029",+380 40 440 91 32,dnazarenko@example.org
Смик,Аврелій,Станіславович,Чоловік,05.03.1983,Випробувач,хутір Кам'янець-Подільський,"сквер 19-й км Старокиївської дороги, буд. 6, Бучач, 38317",011 065-79-56,jvashchenko-zakharchenko@example.com
Левченко,Соломон,Андрійович,Чоловік,05.12.1979,Гицель,селище Саки,"площа Йосипа Фішера, буд. 924 кв. 3, Лебедин, 12135",+380 95 297-60-48,chuikobohuslav@example.net
Атаманчук,Павло,Богданович,Чоловік,24.01.1988,Біолог,місто Монастириська,"проспект Військовий узвіз, буд. 369, Армянськ, 25147",+380 95 835 24 13,hrytsenkosviatoslava@example.org
Алексюк,Дмитро,Анатолійович,Чоловік,28.05.2000,Електротехнік,хутір Зіньків,"шосе Перша, буд. 196 кв. 56, Луцьк, 70805",003 591-38-70,rostyslavderevianko@example.com
Дзиндра,Михайлина,Іванівна,Жінка,09.11.1980,Актор,місто Мирноград,"провулок Нерубайська, буд. 783, Прип'ять, 80017",564-47-64,isaievychmarko@example.net
Гресь,Олександр,Юрійович,Чоловік,08.10.1946,Етнограф,село Великі Мости,"парк Миколи Кравченка, буд. 7 кв. 82, Любомль, 78476",706 23 27,zvitruk@example.net
Шухевич,Михайло,Миколайович,Чоловік,12.10.1980,Зоолог,хутір Решетилівка,"проспект Калинова, буд. 174 кв. 349, Ромни, 34833",964-72-74,veniiamyn51@example.net
Москаль,Богданна,Іванівна,Жінка,30.01.1991,Візажист,селище Тисмениця,"шосе Ювілейний 2-й, буд. 644, Добромиль, 81669",070 198 87 47,khrystynavernyhora@example.net
Корпанюк,Анастасія,Станіславівна,Жінка,26.12.1999,Кіноактор,місто Кобеляки,"набережна Генуезька, буд. 417, Овруч, 01050",+380 (20) 559-84-58,pgereta@example.net
Пушкар,Климент,Євгенович,Чоловік,25.09.1996,Машиніст,місто Голубівка,"вулиця Курортний 6-й, буд. 3, Сквира, 14319",095 906 40 88,syrotenkoiakiv@example.org
Засенко,Пріска,Сергіївна,Жінка,17.07.1966,Фермер,селище Олешки,"проспект Басейний 1-й, буд. 6 кв. 44, Лиман, 13652",070 811-92-70,tereza72@example.com
Теліженко,Аркадій,Тарасович,Чоловік,12.02.1994,Нотаріус,село Камінь-Каширський,"площа Локомотивний 2-й, буд. 1 кв. 4, Василівка, 38968",+380 39 500 61 38,iukhym12@example.org
Свистун,Альберт,Богданович,Чоловік,14.05.1983,Диригент,хутір Моспине,"вулиця Болградська, буд. 6 кв. 612, Новомиргород, 23727",+380 93 928 52 49,halyna79@example.net
Годунок,Едуард,Васильович,Чоловік,28.05.1940,Режисер,хутір Гірник,"проспект Кільцева, буд. 2, Приморськ, 72703",+380 87 483-72-61,aaronriaboshapka@example.com
Андрейко,Клавдія,Тарасівна,Жінка,01.10.1998,Режисер,місто Українськ,"сквер Привозна, буд. 0, П'ятихатки, 48760",+380 64 535-71-06,anzhela04@example.org
Жук,Тетяна,Станіславівна,Жінка,29.10.1980,Пілот,селище Святогірськ,"парк Колективний, буд. 4 кв. 128, Чернівці, 79440",+380 31 846-15-15,iustym62@example.net
Корпанюк,Демид,Станіславович,Чоловік,10.12.1972,Акушер,селище Герца,"узвіз Осіння, буд. 0, Кремінна, 92771",+380 26 483-43-26,ostapchukiustyna@example.net
Якименко,Аарон,Анатолійович,Чоловік,21.12.1965,Геолог,хутір Дергачі,"шосе Уральський, буд. 148, Старобільськ, 16174",+380 54 030 09 51,panaspushkar@example.org
Салій,Олена,Іванівна,Жінка,07.02.1951,Гірничий інженер,селище Зоринськ,"сквер Конструкторський, буд. 088 кв. 29, Жашків, 93183",071 744 17 54,oriaboshapka@example.com
Романенко,Ада,Богданівна,Жінка,13.12.1954,Графік,місто Зимогір'я,"сквер Туристський, буд. 270 кв. 72, Яремче, 86466",062 830-64-96,amaliiachaban@example.org
Сиротенко,Ганна,Геннадіївна,Жінка,22.05.2005,Географ,село Володимир-Волинський,"парк Лінія 28-ма, буд. 988 кв. 61, Новий Буг, 51417",+380 19 114 34 05,iukhym81@example.org
Адамчук,Панас,Богданович,Чоловік,09.10.1969,Фрілансер,місто Надвірна,"узвіз Рєпіна, буд. 83 кв. 845, Івано-Франківськ, 26920",434-91-03,kvysochan@example.net
Бабич,Клавдія,Богданівна,Жінка,23.10.1984,Патологоанатом,село Костянтинівка,"узвіз Василя Берладяну, буд. 8, Попасна, 63591",015 834-09-87,larysailchenko@example.org
Червоненко,Леон,Вікторович,Чоловік,10.09.1968,Ботанік,хутір Ананьїв,"провулок Офіцерський 1-й, буд. 09, Бердичів, 40401",057 238 33 94,qdavydenko@example.org
Дейсун,Тереза,Василівна,Жінка,19.10.1994,Мовознавець,місто Боково-Хрустальне,"узвіз Лінія 24-та, буд. 40, Новий Калинів, 88954",+380 73 289 30 70,pavlomykytiuk@example.net
Шиян,Василина,Ярославівна,Жінка,07.02.1963,Фотограф,місто Лозова,"вулиця Черешнева, буд. 9 кв. 6, Костянтинівка, 79076",005 189 07 66,khrystynafastenko@example.org
Андрієнко,Михайлина,Іванівна,Жінка,04.02.1939,Штукатур,селище Старокостянтинів,"парк 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 745, Попасна, 24397",+380 07 428 90 14,liudmylaieroshenko@example.com
Негода,Мілена,Станіславівна,Жінка,25.11.2007,Реставратор,місто Христинівка,"вулиця Сортувальна 2-га, буд. 53, Ізяслав, 05287",024 998-42-20,jabrahamovska@example.com
Цюцюра,Ігнат,Богданович,Чоловік,31.12.1953,Модель,місто Зміїв,"парк Перлинна, буд. 09, Амвросіївка, 31381",376-28-10,allazhuravel@example.com
Верменич,Мирослав,Євгенович,Чоловік,16.05.1961,Музикознавець,селище Горішні Плавні,"вулиця Крушельницької, буд. 5 кв. 7, Новоград-Волинський, 75964",+380 09 825 63 06,veniiamynbashtan@example.org
Артеменко,Софія,Олександрівна,Жінка,13.10.1968,Геофізик,хутір Дніпрорудне,"узвіз Радіальний, буд. 700 кв. 6, Глухів, 41064",+380 46 306-71-93,derkachamvrosii@example.com
Давимука,Станіслав,Євгенович,Чоловік,16.10.1964,Кінокритик,селище Коломия,"вулиця Шухевича Романа, буд. 299 кв. 469, Горішні Плавні, 78158",+380 36 041 07 83,slutsenko@example.org
Андрейко,Павло,Вікторович,Чоловік,05.11.1998,Актор,селище Скадовськ,"шосе Херсонський сквер, буд. 00, Полтава, 68046",003 703-50-68,albertbalaban@example.org
Шахрай,Гліб,Ярославович,Чоловік,29.12.1990,Філолог,село Старокостянтинів,"сквер Мелодійний, буд. 778, Ізяслав, 16634",+380 81 322-65-58,havryshnazar@example.org
Василенко,Златослава,Сергіївна,Жінка,02.01.1984,Графік,село Мирноград,"вулиця Павлодарська, буд. 466 кв. 03, Львів, 65713",506 60 96,turkalolukian@example.org
Рубан,Богодар,Петрович,Чоловік,28.04.1971,Паблік рилейшнз,селище Семенівка,"проспект Виноградна 2-га, буд. 23 кв. 4, Чернігів, 05377",+380 26 881 22 68,virvanets@example.net
Ґерус,Адам,Вікторович,Чоловік,31.01.1962,Літературознавець,селище Кам'янка-Бузька,"площа Вишневий, буд. 2, Гірське, 76926",+380 (50) 754-26-75,iaroslavhrechanyk@example.org
Алексюк,Владислав,Дмитрович,Чоловік,24.04.1993,Філолог,селище Сторожинець,"парк Залізнична, буд. 0 кв. 790, Новогродівка, 87644",+380 48 315-22-35,albertbabychenko@example.org
Затула,Едита,Федорівна,Жінка,07.01.2008,Музикознавець,село Докучаєвськ,"площа Савранський, буд. 361, Вільнянськ, 44672",428-77-37,omelianokhrimenko@example.net
Іваненко,Аарон,Станіславович,Чоловік,26.04.1938,Будник,місто Маріуполь,"сквер Шевченка парк, буд. 2, Новогродівка, 64438",472-81-94,boryslavsalii@example.net
Ващенко,Костянтин,Євгенович,Чоловік,06.05.1985,Живописець,селище Харків,"провулок Фруктовий, буд. 864, Чоп, 43406",+380 20 232 85 47,korbutstepan@example.org
Цюпа,Ганна,Петрівна,Жінка,23.02.1963,Круп'є,село Радехів,"узвіз Хлібна гавань, буд. 2, Нікополь, 82040",+380 12 731-92-85,iaroslavierchenko@example.net
